team1,team2,team3,team4,team5,team6,winner
2052,5172,3026,4607,3102,3184,0
2052,5172,3026,4607,3102,3184,0
2052,5172,3026,3007,4207,3244,0
2052,5172,3026,3007,4207,3244,0
4198,5913,3751,2823,2508,3630,0
4198,5913,3751,2823,2508,3630,1
4198,5913,3751,2823,2508,3630,1
7028,2987,4536,2509,5232,2500,0
7028,2987,4536,2509,5232,2500,1
7028,2987,4536,2509,5232,2500,0
4607,3102,3184,5464,2502,5434,0
4607,3102,3184,2232,2502,5434,0
7038,2052,5232,2855,3058,2513,0
3184,3038,3023,2823,2987,5434,1
2513,2509,2879,3751,2518,2532,1
2515,2480,3007,3745,5232,2825,1
3102,2846,2498,5913,5464,3058,1
5996,5172,3298,4198,5541,2181,0
4536,2530,4549,3299,4229,3407,0
4207,3751,3630,4607,3244,3023,0
2501,2855,7068,5637,2987,2500,1
2470,7180,6709,5434,3134,3202,1
7850,3871,4664,3026,2509,3038,1
4229,4607,4198,2825,7028,2532,1
2232,3184,7028,2052,3055,2508,0
7038,2823,2529,2502,3454,2879,0
3745,2515,5637,2987,2846,2530,1
3630,2501,7180,4207,2181,3007,1
2480,2470,3038,2498,4549,4607,1
3751,7028,2052,7850,2825,5172,0
3454,5541,2532,2232,3134,2508,1
3058,3244,4229,2529,7068,3871,0
4198,6709,3055,5232,2879,3102,1
3202,3023,4536,2518,5464,3026,1
4549,3134,2846,2181,7850,2501,0
2509,5913,2500,2513,3298,2823,0
3299,2502,5996,2855,3184,4664,1
3407,2532,2052,5434,7038,3871,0
2181,5637,7028,3102,3038,2515,1
2987,5464,2232,4229,2470,3751,0
3298,3630,3058,7180,3454,2825,0
7068,4536,3745,2508,2513,2498,0
5434,5913,2480,5996,3026,3055,0
2529,3023,2855,6709,5541,7850,1
3007,4607,5232,4664,3407,2518,0
3871,2518,3630,2480,2502,7068,1
4549,2509,4207,2500,7038,2502,1
2823,2879,2846,5172,2530,3134,1
3244,3202,4198,3184,3299,2501,0
2513,3026,3871,2515,3630,5541,1
2181,2855,2480,2529,2232,3407,1
2502,3007,5637,3023,3058,5434,0
2052,4607,2509,3055,2987,4536,0
2825,4664,4198,2530,4207,3202,1
4229,2518,2508,6709,2501,5996,0
3102,7850,3299,3745,2470,2823,0
3007,2508,2470,5913,2529,2530,0
4549,2500,5464,2879,2532,3244,1
2498,5232,3184,5172,3751,3454,1
3134,7068,7180,7028,5913,7038,1
3038,4536,4229,2846,3298,2855,0
2825,2513,3407,3055,5637,2470,1
2879,2515,3058,2509,5996,2232,0
7850,2508,3244,5232,4198,5434,0
2532,3102,7180,3023,2480,2501,0
5913,3630,3299,3038,2052,5172,1
4607,3026,3454,2502,2181,5464,1
3745,3055,5464,7180,4207,5172,1
7038,2846,7068,3298,4664,3751,0
3202,2823,5541,4549,7028,3007,1
2518,3745,2529,3134,2500,3184,1
4207,2498,2987,3871,6709,2530,0
3630,2181,5232,2532,4536,2470,0
2508,5172,3058,3407,2515,4607,0
5464,5434,2509,3299,7068,5541,0
2502,3202,7850,5637,2480,4229,0
2846,3184,3026,7028,4207,2513,0
3134,3007,3298,2052,2498,3244,1
5996,2498,2515,2500,3407,3202,0
2825,7038,5996,2987,2529,3102,1
2530,2500,2518,7180,2232,3038,0
3454,6709,3745,4198,4549,5913,1
3871,3751,2855,2501,2823,3055,1
3023,2879,2181,2498,4229,4664,1
2532,5232,2987,3026,3202,2529,0
7028,5172,2470,4536,3058,2500,0
3407,3244,6709,2509,2825,2846,0
5637,2508,4207,2480,3299,2823,0
3038,2501,3751,5541,3745,2502,1
4664,5541,4536,3244,3454,3102,1
4664,3102,3134,3630,2855,2232,1
5464,4198,7850,3007,2513,7038,0
3184,7180,5913,4607,3871,2879,1
2530,3023,3454,7068,5996,2052,1
3055,5434,2515,2518,3298,4549,1
2501,5637,2498,3630,2529,2509,1
5172,3102,2513,2987,2502,3244,0
3058,2480,3134,4536,4198,3751,1
2232,2532,4207,7068,7850,5913,0
2530,5434,3745,3202,2181,4607,0
6709,2232,3298,5637,3299,3026,1
5541,4229,7038,2470,2518,3184,0
2846,3871,7028,5232,5996,3023,0
2823,2052,2515,5464,4664,6709,0
2500,3038,3299,3454,3007,3055,0
3026,4549,2825,2508,7180,2855,1
3298,3407,2987,2879,3745,3630,0
2052,5172,3026,2823,2508,3630,0
2052,5172,3026,2823,2508,3630,0
7028,2987,4536,4607,3102,3184,1
7028,2987,4536,4607,3102,3184,1
